matrix_type,clique_size,nodes,sectors,subsectors,n_unique_sectors,same_sector_clique,same_subsector_clique,mean_internal_correlation,min_internal_correlation,max_internal_correlation
original,4,CMIG4|COCE5|CPLE3|CPLE6,Utilities|Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Electric Utility|Electric Utility,1,True,True,0.5102104889353272,0.31651297476920914,0.779452315869867
original,4,CMIG4|CPFE3|CPLE3|CPLE6,Utilities|Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Electric Utility|Electric Utility,1,True,True,0.6373730699304795,0.5511168880019369,0.779452315869867
original,4,CMIG4|CPLE6|ELET3|ELET6,Utilities|Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Electric Utility|Electric Utility,1,True,True,0.6736224681121078,0.5926186362118865,0.9387081865865531
original,4,CMIG4|CPLE6|ELET3|SBSP3,Utilities|Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Electric Utility|Water and Sanitation,1,True,False,0.6022847729322729,0.5615994316667996,0.6917533248492743
original,4,CMIG4|CPLE6|ELET6|ITSA4,Utilities|Utilities|Utilities|Financials,Electric Utility|Electric Utility|Electric Utility|Financial Services,2,False,False,0.6005870424086892,0.5617289754734557,0.6917533248492743
original,4,CMIG4|ELET3|SBSP3|TELB4,Utilities|Utilities|Utilities|Telecommunications,Electric Utility|Electric Utility|Water and Sanitation|Telecommunications,2,False,False,0.3620878282557701,0.1351087970603559,0.6033527221253187
original,4,CMIG4|SBSP3|TELB3|TELB4,Utilities|Utilities|Telecommunications|Telecommunications,Electric Utility|Water and Sanitation|Telecommunications|Telecommunications,2,False,False,0.30829598848217776,0.13997760160256806,0.6896373418717767
original,4,CPFE3|CPLE3|CPLE6|TRPL4,Utilities|Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Electric Utility|Electric Utility,1,True,True,0.5618376853881732,0.4233745540720044,0.779452315869867
original,4,CSNA3|GGBR4|GOAU4|USIM5,Basic Materials|Basic Materials|Basic Materials|Basic Materials,Steel and Metallurgy|Steel and Metallurgy|Steel and Metallurgy|Steel and Metallurgy,1,True,True,0.7924120462275431,0.7429721713700898,0.9508405471575873
original,4,CSNA3|GOAU4|USIM3|USIM5,Basic Materials|Basic Materials|Basic Materials|Basic Materials,Steel and Metallurgy|Steel and Metallurgy|Steel and Metallurgy|Steel and Metallurgy,1,True,True,0.762712576202066,0.6948459218289066,0.8776814351912281
