eigen_rank,eigenvalue,above_mp_lambda_max,symbol,company_name,sector,subsector,segment,loading,abs_loading,loading_rank
2,3.09565032761159,True,BBDC4,BRADESCO,Financials,Banks,Banks,0.04977221784898475,0.04977221784898475,36
2,3.09565032761159,True,BEES3,BANESTES,Financials,Banks,Banks,0.0046327479085787856,0.0046327479085787856,57
2,3.09565032761159,True,BOBR4,BOMBRIL,Consumer Non-Cyclical,Personal and Home Care,Home Care,0.03218767004747319,0.03218767004747319,47
2,3.09565032761159,True,BRAP3,BRADESPAR,Basic Materials,Mining,Holdings,-0.25066165515440747,0.25066165515440747,3
2,3.09565032761159,True,BRAP4,BRADESPAR,Basic Materials,Mining,Holdings,-0.283127407641685,0.283127407641685,2
2,3.09565032761159,True,BRKM3,BRASKEM,Basic Materials,Chemicals,Petrochemicals,-0.0013610712835051238,0.0013610712835051238,58
2,3.09565032761159,True,BRKM5,BRASKEM,Basic Materials,Chemicals,Petrochemicals,-0.005608210724159704,0.005608210724159704,56
2,3.09565032761159,True,CCRO3,CCR,Industrials,Transportation,Infrastructure,0.12642578348758998,0.12642578348758998,24
2,3.09565032761159,True,CGAS5,COMGAS,Utilities,Gas Utility,Distribution,0.04747719020913069,0.04747719020913069,40
2,3.09565032761159,True,CMIG3,CEMIG,Utilities,Electric Utility,Generation and Distribution,0.15901401106496016,0.15901401106496016,14
2,3.09565032761159,True,CMIG4,CEMIG,Utilities,Electric Utility,Generation and Distribution,0.16923109545257936,0.16923109545257936,12
2,3.09565032761159,True,COCE5,COELCE,Utilities,Electric Utility,Distribution,0.0692671519845754,0.0692671519845754,33
2,3.09565032761159,True,CPFE3,CPFL ENERGIA,Utilities,Electric Utility,Generation and Distribution,0.14698435542174304,0.14698435542174304,19
2,3.09565032761159,True,CPLE3,COPEL,Utilities,Electric Utility,Generation and Distribution,0.16199635545673444,0.16199635545673444,13
2,3.09565032761159,True,CPLE6,COPEL,Utilities,Electric Utility,Generation and Distribution,0.13522460103898148,0.13522460103898148,20
2,3.09565032761159,True,CSNA3,CSN,Basic Materials,Steel and Metallurgy,Steel,-0.2299053748273389,0.2299053748273389,7
2,3.09565032761159,True,CTNM4,COTEMINAS,Consumer Cyclical,Textiles,Textiles,0.045192916488470014,0.045192916488470014,42
2,3.09565032761159,True,CYRE3,CYRELA,Real Estate,Real Estate,Construction,0.10692130625003018,0.10692130625003018,26
2,3.09565032761159,True,ELET3,ELETROBRAS,Utilities,Electric Utility,Generation and Transmission,0.15512413275066553,0.15512413275066553,16
2,3.09565032761159,True,ELET6,ELETROBRAS,Utilities,Electric Utility,Generation and Transmission,0.15168823234589943,0.15168823234589943,18
2,3.09565032761159,True,EMAE4,EMAE,Utilities,Electric Utility,Generation,0.02453531743279306,0.02453531743279306,49
2,3.09565032761159,True,EMBR3,EMBRAER,Industrials,Aerospace and Defense,Aerospace,0.02119125178025111,0.02119125178025111,50
2,3.09565032761159,True,ETER3,ETERNIT,Industrials,Construction Materials,Construction Materials,0.04551193702642579,0.04551193702642579,41
2,3.09565032761159,True,FESA4,FERBASA,Basic Materials,Steel and Metallurgy,Metallurgy,-0.13494450410990663,0.13494450410990663,22
2,3.09565032761159,True,GGBR3,GERDAU,Basic Materials,Steel and Metallurgy,Steel,-0.23874268989066533,0.23874268989066533,5
2,3.09565032761159,True,GGBR4,GERDAU,Basic Materials,Steel and Metallurgy,Steel,-0.2487340219605438,0.2487340219605438,4
2,3.09565032761159,True,GOAU3,METALURGICA GERDAU,Basic Materials,Steel and Metallurgy,Holdings,-0.21111585727976767,0.21111585727976767,9
2,3.09565032761159,True,GOAU4,METALURGICA GERDAU,Basic Materials,Steel and Metallurgy,Holdings,-0.23206355808589585,0.23206355808589585,6
2,3.09565032761159,True,GRND3,GRENDENE,Consumer Cyclical,Apparel and Footwear,Footwear,0.15715791449798377,0.15715791449798377,15
2,3.09565032761159,True,GUAR3,GUARARAPES,Consumer Cyclical,Retail,Apparel,0.15353319823117664,0.15353319823117664,17
2,3.09565032761159,True,ITSA3,ITAUSA,Financials,Financial Services,Holdings,0.04438945409039549,0.04438945409039549,43
2,3.09565032761159,True,ITSA4,ITAUSA,Financials,Financial Services,Holdings,0.03774264326080963,0.03774264326080963,45
2,3.09565032761159,True,KEPL3,KEPLER WEBER,Industrials,Machinery and Equipment,Agricultural,0.042269905193261854,0.042269905193261854,44
2,3.09565032761159,True,KLBN4,KLABIN,Basic Materials,Paper and Cellulose,Paper and Cellulose,-0.11081264651629782,0.11081264651629782,25
2,3.09565032761159,True,LREN3,LOJAS RENNER,Consumer Cyclical,Retail,Apparel,0.13132214357941793,0.13132214357941793,23
2,3.09565032761159,True,MGEL4,MANGELS,Basic Materials,Steel and Metallurgy,Metallurgy,0.015854943731062505,0.015854943731062505,52
2,3.09565032761159,True,PETR3,PETROBRAS,Oil Gas and Biofuels,Oil Gas and Biofuels,Exploration Refining and Distribution,-0.0549902657824192,0.0549902657824192,35
2,3.09565032761159,True,PETR4,PETROBRAS,Oil Gas and Biofuels,Oil Gas and Biofuels,Exploration Refining and Distribution,-0.04791072968059102,0.04791072968059102,39
2,3.09565032761159,True,POMO4,MARCOPOLO,Industrials,Transportation Equipment,Commercial Vehicles,0.08051392500055914,0.08051392500055914,29
2,3.09565032761159,True,PSSA3,PORTO SEGURO,Financials,Insurance,Insurance,0.062367079923203395,0.062367079923203395,34
2,3.09565032761159,True,RAPT4,RANDON,Industrials,Transportation Equipment,Auto Parts,0.07566762381281726,0.07566762381281726,31
2,3.09565032761159,True,RENT3,LOCALIZA,Industrials,Transportation,Rent a Car,0.07598721570227435,0.07598721570227435,30
2,3.09565032761159,True,ROMI3,INDS ROMI,Industrials,Machinery and Equipment,Industrial Machinery,0.0324347274666351,0.0324347274666351,46
2,3.09565032761159,True,SAPR4,SANEPAR,Utilities,Water and Sanitation,Water and Sanitation,0.17466261024266316,0.17466261024266316,11
2,3.09565032761159,True,SBSP3,SABESP,Utilities,Water and Sanitation,Water and Sanitation,0.10190658230782873,0.10190658230782873,27
2,3.09565032761159,True,SCAR3,SAO CARLOS,Real Estate,Real Estate,Commercial Properties,0.00653363685255303,0.00653363685255303,55
2,3.09565032761159,True,SHUL4,SCHULZ,Industrials,Machinery and Equipment,Industrial Machinery,0.07507671671702519,0.07507671671702519,32
2,3.09565032761159,True,TELB3,TELEBRAS,Telecommunications,Telecommunications,Telecommunications,0.025357572385856772,0.025357572385856772,48
2,3.09565032761159,True,TELB4,TELEBRAS,Telecommunications,Telecommunications,Telecommunications,0.02108935461122103,0.02108935461122103,51
2,3.09565032761159,True,TRPL4,ISA CTEEP,Utilities,Electric Utility,Transmission,0.09092495067259133,0.09092495067259133,28
2,3.09565032761159,True,UNIP6,UNIPAR,Basic Materials,Chemicals,Chemicals,-0.009754640861398637,0.009754640861398637,54
2,3.09565032761159,True,USIM3,USIMINAS,Basic Materials,Steel and Metallurgy,Steel,-0.20540118516907474,0.20540118516907474,10
2,3.09565032761159,True,USIM5,USIMINAS,Basic Materials,Steel and Metallurgy,Steel,-0.21274026935604412,0.21274026935604412,8
2,3.09565032761159,True,VALE3,VALE,Basic Materials,Mining,Minerals,-0.28313829687043235,0.28313829687043235,1
3,1.7838761140083956,True,ALPA4,ALPARGATAS,Consumer Cyclical,Apparel and Footwear,Footwear,0.2089445777930162,0.2089445777930162,8
3,1.7838761140083956,True,BAZA3,BANCO DA AMAZONIA,Financials,Banks,Banks,-0.10755498169324891,0.10755498169324891,24
3,1.7838761140083956,True,BBAS3,BANCO DO BRASIL,Financials,Banks,Banks,-0.25448258677542124,0.25448258677542124,6
3,1.7838761140083956,True,BBDC3,BRADESCO,Financials,Banks,Banks,-0.26891819752060875,0.26891819752060875,4
3,1.7838761140083956,True,BBDC4,BRADESCO,Financials,Banks,Banks,-0.27349282666161434,0.27349282666161434,3
3,1.7838761140083956,True,BEES3,BANESTES,Financials,Banks,Banks,-0.045891806297790806,0.045891806297790806,45
3,1.7838761140083956,True,BOBR4,BOMBRIL,Consumer Non-Cyclical,Personal and Home Care,Home Care,0.1271392111799451,0.1271392111799451,20
3,1.7838761140083956,True,BRAP3,BRADESPAR,Basic Materials,Mining,Holdings,-0.009406826621790208,0.009406826621790208,57
3,1.7838761140083956,True,BRAP4,BRADESPAR,Basic Materials,Mining,Holdings,-0.059397289498862506,0.059397289498862506,37
3,1.7838761140083956,True,BRKM3,BRASKEM,Basic Materials,Chemicals,Petrochemicals,0.21314447635178072,0.21314447635178072,7
3,1.7838761140083956,True,BRKM5,BRASKEM,Basic Materials,Chemicals,Petrochemicals,0.13376664037719152,0.13376664037719152,18
3,1.7838761140083956,True,CCRO3,CCR,Industrials,Transportation,Infrastructure,-0.043966796291792114,0.043966796291792114,47
3,1.7838761140083956,True,CGAS5,COMGAS,Utilities,Gas Utility,Distribution,0.11898026898042881,0.11898026898042881,21
3,1.7838761140083956,True,CMIG3,CEMIG,Utilities,Electric Utility,Generation and Distribution,-0.055050067946245895,0.055050067946245895,39
3,1.7838761140083956,True,CMIG4,CEMIG,Utilities,Electric Utility,Generation and Distribution,-0.110727843183999,0.110727843183999,23
3,1.7838761140083956,True,COCE5,COELCE,Utilities,Electric Utility,Distribution,0.0014839832609589254,0.0014839832609589254,58
3,1.7838761140083956,True,CPFE3,CPFL ENERGIA,Utilities,Electric Utility,Generation and Distribution,-0.059554639874194314,0.059554639874194314,36
3,1.7838761140083956,True,CPLE3,COPEL,Utilities,Electric Utility,Generation and Distribution,-0.0203905904688189,0.0203905904688189,54
3,1.7838761140083956,True,CPLE6,COPEL,Utilities,Electric Utility,Generation and Distribution,-0.07284925509288788,0.07284925509288788,29
3,1.7838761140083956,True,CSNA3,CSN,Basic Materials,Steel and Metallurgy,Steel,0.028726866704234775,0.028726866704234775,51
3,1.7838761140083956,True,CTNM4,COTEMINAS,Consumer Cyclical,Textiles,Textiles,0.17761074863352413,0.17761074863352413,12
3,1.7838761140083956,True,CYRE3,CYRELA,Real Estate,Real Estate,Construction,0.011942528303096393,0.011942528303096393,56
3,1.7838761140083956,True,ELET3,ELETROBRAS,Utilities,Electric Utility,Generation and Transmission,-0.0814552643691488,0.0814552643691488,27
3,1.7838761140083956,True,ELET6,ELETROBRAS,Utilities,Electric Utility,Generation and Transmission,-0.0893686045665563,0.0893686045665563,26
3,1.7838761140083956,True,EMAE4,EMAE,Utilities,Electric Utility,Generation,0.19223675880986585,0.19223675880986585,11
