matrix_type,clique_size,nodes,sectors,subsectors,n_unique_sectors,same_sector_clique,same_subsector_clique,mean_internal_correlation,min_internal_correlation,max_internal_correlation
group_mode,3,BBDC3|PETR3|PETR4,Financials|Oil Gas and Biofuels|Oil Gas and Biofuels,Banks|Oil Gas and Biofuels|Oil Gas and Biofuels,2,False,False,0.0889103791347229,0.0714157287977677,0.0982496374856445
group_mode,3,BBDC3|PETR3|VALE3,Financials|Oil Gas and Biofuels|Basic Materials,Banks|Oil Gas and Biofuels|Mining,3,False,False,0.0549056891963321,-0.004215074621549,0.0982496374856445
group_mode,3,BBDC3|PETR4|VALE3,Financials|Oil Gas and Biofuels|Basic Materials,Banks|Oil Gas and Biofuels|Mining,3,False,False,0.052345605188688166,-0.004215074621549,0.0970657711207565
group_mode,3,BBDC4|CCRO3|LREN3,Financials|Industrials|Consumer Cyclical,Banks|Transportation|Retail,3,False,False,0.056273423327482607,0.0441195177899178,0.0632769777250411
group_mode,3,BBDC4|CCRO3|PSSA3,Financials|Industrials|Financials,Banks|Transportation|Insurance,2,False,False,0.06524895103722267,0.0466844693696858,0.0876386092744933
group_mode,3,BBDC4|CCRO3|SCAR3,Financials|Industrials|Real Estate,Banks|Transportation|Real Estate,3,False,False,0.033630562148473604,0.0087978176422394,0.0614237744674889
group_mode,3,BBDC4|ITSA3|ITSA4,Financials|Financials|Financials,Banks|Financial Services|Financial Services,1,True,False,0.1373573497797085,0.1096267576479067,0.1783454146633552
group_mode,3,BBDC4|ITSA3|PSSA3,Financials|Financials|Financials,Banks|Financial Services|Insurance,1,True,False,0.09352756139505053,0.0688441978827947,0.1240998770278636
group_mode,3,BBDC4|LREN3|PSSA3,Financials|Consumer Cyclical|Financials,Banks|Retail|Insurance,2,False,False,0.06585448493046074,0.0441195177899178,0.0876386092744933
group_mode,3,BBDC4|PETR3|PETR4,Financials|Oil Gas and Biofuels|Oil Gas and Biofuels,Banks|Oil Gas and Biofuels|Oil Gas and Biofuels,2,False,False,0.0911377645096706,0.0714157287977677,0.1016597221146781
group_mode,3,BOBR4|CGAS5|GUAR3,Consumer Non-Cyclical|Utilities|Consumer Cyclical,Personal and Home Care|Gas Utility|Retail,3,False,False,0.061279958808608405,0.0347329729159382,0.0746960221664787
