model,feature_set,symbol,horizon,split,MAE,RMSE,QLIKE,R2_oos
HAR-RV,Classical,PETR4,20,train,0.028619340997458494,0.037539192627527154,-3.3541890599999875,0.5086946193419941
HAR-RV,Classical,PETR4,20,validation,0.044654225229249674,0.08944323648846832,-2.5607080148077324,0.00575777012389489
HAR-RV,Classical,PETR4,20,test,0.02610701243271056,0.03930092245618639,-3.730073719326636,0.2644404486702955
HV_20d,Classical,VALE3,5,train,0.018102929042396496,0.024814286500576963,-4.735176900000095,0.34782535322083863
HV_60d,Classical,VALE3,5,train,0.017861806923004594,0.02477215871084154,-4.7677660599272365,0.3500378975300993
EWMA,Classical,VALE3,5,train,0.01748365794408148,0.0239807277047746,-4.786620854176535,0.39090498818237485
HV_20d,Classical,VALE3,5,validation,0.0228445758354961,0.04140870406278102,-4.649110361724857,-0.16796540557832196
HV_60d,Classical,VALE3,5,validation,0.025917254750177185,0.0432029573513833,-4.523600821850011,-0.2713749620248407
EWMA,Classical,VALE3,5,validation,0.02443565676370582,0.04039230559250552,-4.588379165577035,-0.11133243159569184
HV_20d,Classical,VALE3,5,test,0.01432480951840927,0.018253604005308375,-5.340152907137829,0.457925941460953
HV_60d,Classical,VALE3,5,test,0.013986979874137842,0.017612460997769926,-5.413977392019423,0.49533700168351436
EWMA,Classical,VALE3,5,test,0.013830746975805105,0.017344292275945816,-5.428174895215415,0.510588081224808
HV_20d,Classical,VALE3,20,train,0.02702053799092271,0.03850245399893172,-3.329128278591445,0.45469067433404475
HV_60d,Classical,VALE3,20,train,0.02638034670117216,0.038406783056071765,-3.3510152720692945,0.457397277969227
EWMA,Classical,VALE3,20,train,0.025324334684576226,0.03624927964033934,-3.3690556967266256,0.5166465034279786
HV_20d,Classical,VALE3,20,validation,0.04460148925088489,0.08291433951106726,-3.04114079426435,-0.6091130742464586
HV_60d,Classical,VALE3,20,validation,0.04849079201097801,0.0825859984883381,-2.8922224406482857,-0.596394122954635
EWMA,Classical,VALE3,20,validation,0.04686520509639702,0.07744206342912804,-3.004863552452152,-0.40372199445976054
HV_20d,Classical,VALE3,20,test,0.020284871055815452,0.02636870093832901,-3.948715450711793,0.6182227287820232
HV_60d,Classical,VALE3,20,test,0.01823130738865717,0.023376156101285035,-4.0190744833628225,0.6999602481624128
EWMA,Classical,VALE3,20,test,0.017094740808815127,0.022516366497194424,-4.039867491974107,0.7216256485899954
"GARCH(1,1)",Classical,VALE3,5,train,0.017239459847396936,0.023360788779125435,-4.805167910610232,0.4219900259313276
"GARCH(1,1)",Classical,VALE3,5,validation,0.023125645373438218,0.03879236641810116,-4.656008832998656,-0.0250363063654635
"GARCH(1,1)",Classical,VALE3,5,test,0.014742524001947694,0.01802773189307502,-5.42617210366833,0.47125830838923644
"GARCH(1,1)",Classical,VALE3,20,train,0.02438449554999011,0.03439931194557229,-3.393282662032272,0.5647231045306762
"GARCH(1,1)",Classical,VALE3,20,validation,0.04301813407127192,0.07414168478470426,-3.1296785017509556,-0.2866255569629832
"GARCH(1,1)",Classical,VALE3,20,test,0.019401222523093235,0.024548729756516296,-4.028736112452805,0.6691046606732771
HAR-RV,Classical,VALE3,5,train,0.01688789075577723,0.023364847369502697,-4.783162879056398,0.4217891671740269
HAR-RV,Classical,VALE3,5,validation,0.01990393185017379,0.036025478204797165,-4.678220300775422,0.11597161403853529
