symbol,n_obs,mean,std,min,max,skew,abs_mean
BRAP3,6210,0.00047953789838321335,0.026415296055770886,-0.2897546120537533,0.19860244239809188,-0.23900777996795514,0.018553389642890723
GGBR4,6174,0.0004922130460115627,0.026924342986928473,-0.1979224972364344,0.16886666445977183,-0.0774390321858341,0.019823549894669057
EMAE4,6173,0.0004324455465094444,0.036974230849440924,-0.38071693841897003,0.297632403304949,0.08000612075777347,0.023239534250677388
BOBR4,6168,-0.0002495663023947117,0.03697913362536287,-0.3172825422280716,0.5533852381847866,1.2585005437286743,0.023439234794385328
CTNM4,6052,-0.0006008608760843712,0.03622956275633185,-0.38728278902497415,1.0847424408039592,4.734094768137188,0.022136261773280024
CGAS5,6015,0.0007085897409042878,0.020956438701001612,-0.1655144384775733,0.18566354053574585,0.5929816087886598,0.013839938299128414
USIM3,6005,0.000422938700600741,0.03698304228493949,-0.5191938734365075,0.32879238791643095,-0.3577621196770432,0.02370704548749263
KLBN4,5949,0.0006076777751768412,0.022752063826549596,-0.1433104652743935,0.16729981509811687,0.20016399685093572,0.016385252627150005
BAZA3,5898,0.0006454265094892206,0.03262927711491869,-0.27443684570176075,0.46734051182625214,1.947078696271173,0.01845985831678864
GUAR3,5871,0.0006294525757331047,0.029494964928425002,-0.3216053252808795,0.17918042789309385,-0.5310430022013694,0.019451320201596515
GOAU3,5852,0.0006251901404828769,0.030245500439541353,-0.5676506487047015,0.22923847658170615,-1.1981217127385317,0.019975179992534616
BRKM5,5783,0.0002068344283246301,0.02982620068561195,-0.2806808769927973,0.2757692909355387,0.2883299671456572,0.020829270639093525
SAPR4,5778,0.0005514463464263327,0.021588538419595838,-0.19494704941958219,0.14618251017808126,-0.126422787405765,0.014700386230372196
MGEL4,5769,0.00020026783834723618,0.04946683974612576,-0.7252354951114459,0.7067528326157242,0.5283142513563391,0.02960936893939259
ITSA3,5710,0.0007519080353246316,0.02257651724497571,-0.18215504276476302,0.18074799234652417,0.20659954769932762,0.014748979079735734
GGBR3,5682,0.0005765061097214935,0.026704925151228097,-0.27938326963708604,0.169158570267674,-0.2456825789518764,0.01888192390264431
CCRO3,5665,0.0005721672159435841,0.02453412903670293,-0.3101549283038396,0.20013444080495235,-0.3650442460647458,0.017153303108502705
SCAR3,5449,0.0005747036136601064,0.03744693201764913,-0.4885800148186708,0.5596157879354228,-0.12298680558375506,0.02083294932940585
TELB3,5386,-9.805135418481367e-05,0.13019457506280055,-0.6931471805599453,1.1574527886910433,0.5705174934905397,0.05955845973366402
ROMI3,5312,0.0006579481799528101,0.03392459375438252,-0.8260533777905494,0.2231435513142097,-2.615436540755902,0.02151489062606612
CPFE3,5264,0.0005929897518609264,0.017943843536573557,-0.18596743544611538,0.1160436022729503,-0.3731838752517288,0.012692352669731165
GRND3,5243,0.0002577881646244159,0.02004478478960983,-0.11836460008103278,0.13720112151348496,-0.07054916262114533,0.014457848855697333
PSSA3,5229,0.0006277731944987259,0.018820761754195718,-0.12566152322846325,0.09869937529104411,0.01814627913992528,0.01368119242942505
KEPL3,5202,0.00022562364382804593,0.03759633338352327,-0.5857886622394459,0.5610292157325696,-0.6260131658465923,0.020890019690465222
BEES3,5148,0.00030130727299886164,0.04461267992559067,-1.0033021088637846,0.6007738604289301,-2.5806807720219767,0.018981059528606768
RENT3,5106,0.0008318828029604584,0.026608386181868428,-0.20598393103138335,0.24095499604381157,0.01225509914831659,0.018711283609431598
LREN3,5092,0.0007510003465228014,0.032782646153575075,-0.5679840376059393,1.0658224658451187,6.08879884458259,0.019988809983672407
CYRE3,5064,0.0005160501035962922,0.03045026823570295,-0.28302899166008366,0.2892936763461227,-0.2135005346862211,0.021517618092091854
BRKM3,5048,0.0003277107548335181,0.02997036258455469,-0.25905025977745355,0.3782954433101029,0.7574309842564911,0.02002216263215551
SHUL4,5041,0.0010544207151771334,0.0328353446739664,-0.356674943938732,0.35667494393873245,0.011030935653151903,0.019289415030867306
