,ALPA4,BAZA3,BBAS3,BBDC3,BBDC4,BEES3,BOBR4,BRAP3,BRAP4,BRKM3,BRKM5,CCRO3,CGAS5,CMIG3,CMIG4,COCE5,CPFE3,CPLE3,CPLE6,CSNA3,CTNM4,CYRE3,ELET3,ELET6,EMAE4,EMBR3,ETER3,FESA4,GGBR3,GGBR4,GOAU3,GOAU4,GRND3,GUAR3,ITSA3,ITSA4,KEPL3,KLBN4,LREN3,MGEL4,PETR3,PETR4,POMO4,PSSA3,RAPT4,RENT3,ROMI3,SAPR4,SBSP3,SCAR3,SHUL4,TELB3,TELB4,TRPL4,UNIP6,USIM3,USIM5,VALE3
GGBR3,5548,5017,5681,5682,5682,5016,5045,5602,5682,5016,5580,5434,5597,5682,5682,5656,5262,5589,5648,5682,5000,5064,5648,5648,5002,5643,5673,5643,5682,5682,5349,5682,5242,5432,5165,5682,5130,5652,5082,4986,5682,5682,5672,5229,5659,5106,5114,5542,5682,5062,4748,4187,5649,5404,5682,5519,5682,5682
GGBR4,5830,5407,6171,6174,6174,5050,5523,6093,6174,5048,5783,5665,6015,6174,6174,6098,5264,6081,6140,6174,5476,5064,6140,6140,5480,6135,6137,6057,5682,6174,5471,6174,5243,5626,5381,6174,5201,5949,5084,5246,6174,6174,6138,5229,6095,5106,5250,5778,6174,5258,4843,4678,6141,5896,6173,5765,6174,6173
GOAU3,5607,5131,5849,5852,5852,4999,5176,5463,5538,4922,5354,5201,5346,5850,5852,5795,5215,5757,5818,5851,5118,5039,5818,5818,5169,5745,5779,5671,5349,5471,5852,5852,5206,5452,5240,5852,5001,5381,5059,5139,5851,5851,5771,5199,5818,5081,5028,5300,5852,5105,4806,4362,5819,5439,5849,5520,5770,5837
GOAU4,6281,5897,6879,6884,6885,5148,6167,6210,6291,5048,5783,5665,6015,6879,6884,6724,5264,6786,6851,6881,6051,5064,6851,6851,6172,6692,6703,6431,5682,6174,5852,6885,5243,5871,5709,6884,5202,5949,5092,5768,6884,6884,6696,5229,6766,5106,5312,5778,6885,5449,5041,5385,6851,6274,6878,6005,6669,6856
GRND3,5196,4681,5243,5243,5243,4947,4606,5167,5243,4907,5243,5074,5167,5243,5243,5236,5243,5151,5209,5243,4562,5064,5209,5209,4570,5204,5241,5232,5242,5243,5206,5243,5243,5201,4971,5243,4945,5243,5081,4700,5243,5243,5243,5229,5242,5106,4909,5184,5243,4897,4625,3749,5211,4965,5243,5229,5243,5243
GUAR3,5654,5163,5869,5871,5871,5016,5225,5582,5658,4972,5506,5351,5508,5870,5871,5822,5215,5780,5837,5869,5144,5048,5837,5837,5188,5788,5815,5744,5432,5626,5452,5871,5201,5871,5243,5871,5063,5549,5067,5138,5870,5870,5820,5193,5837,5089,5094,5463,5871,5113,4798,4375,5837,5501,5870,5557,5811,5866
ITSA3,5430,5034,5709,5710,5710,4863,5040,5372,5439,4751,5204,5064,5267,5708,5710,5641,4981,5617,5676,5708,4961,4891,5676,5676,5017,5593,5623,5504,5165,5381,5240,5709,4971,5243,5710,5710,4859,5286,4905,4904,5710,5710,5627,4963,5661,4912,4929,5192,5710,4956,4660,4226,5678,5266,5707,5317,5602,5695
ITSA4,6282,5898,6879,6884,6885,5147,6167,6210,6291,5048,5783,5665,6015,6879,6884,6724,5264,6786,6851,6881,6052,5064,6851,6851,6172,6691,6704,6430,5682,6174,5852,6884,5243,5871,5710,6885,5202,5949,5092,5768,6884,6884,6696,5229,6766,5106,5312,5778,6885,5449,5041,5385,6851,6274,6878,6005,6669,6856
KEPL3,5128,4680,5202,5202,5202,4805,4566,5137,5202,4768,5198,5026,5125,5202,5202,5195,4964,5111,5168,5202,4521,4816,5168,5168,4527,5163,5197,5190,5130,5201,5001,5202,4945,5063,4859,5202,5202,5198,4824,4609,5202,5202,5202,4931,5197,4838,4869,5134,5202,4803,4541,3707,5169,4924,5202,5149,5202,5202
KLBN4,5733,5230,5949,5949,5949,5045,5312,5868,5949,5048,5783,5665,5873,5949,5949,5923,5264,5856,5915,5949,5268,5064,5915,5915,5256,5910,5934,5897,5652,5949,5381,5949,5243,5549,5286,5949,5198,5949,5084,5116,5949,5949,5935,5229,5903,5106,5220,5778,5949,5161,4796,4454,5916,5671,5948,5660,5949,5949
LREN3,5042,4580,5092,5092,5092,4888,4456,5022,5084,4789,5082,4914,5008,5092,5092,5085,5081,5000,5058,5092,4409,5064,5058,5058,4419,5053,5091,5072,5082,5084,5059,5092,5081,5067,4905,5092,4824,5084,5092,4542,5092,5092,5089,5081,5091,5080,4849,5026,5092,4829,4558,3598,5060,4806,5092,5075,5087,5092
MGEL4,5409,4989,5767,5769,5769,4562,5153,5256,5332,4519,5060,4934,5136,5764,5768,5668,4721,5680,5741,5766,5112,4521,5741,5741,5168,5626,5657,5487,4986,5246,5139,5768,4700,5138,4904,5768,4609,5116,4542,5769,5768,5768,5642,4686,5719,4563,4646,5013,5769,4735,4406,4481,5744,5328,5764,5237,5623,5746
PETR3,6282,5897,6879,6884,6885,5148,6167,6210,6291,5048,5783,5665,6015,6879,6884,6725,5264,6786,6851,6881,6051,5064,6851,6851,6172,6691,6704,6431,5682,6174,5851,6884,5243,5870,5710,6884,5202,5949,5092,5768,6885,6885,6696,5229,6766,5106,5312,5778,6885,5449,5041,5385,6851,6273,6878,6004,6668,6856
PETR4,6282,5897,6879,6884,6885,5148,6167,6210,6291,5048,5783,5665,6015,6879,6884,6725,5264,6786,6851,6881,6051,5064,6851,6851,6172,6691,6704,6431,5682,6174,5851,6884,5243,5870,5710,6884,5202,5949,5092,5768,6885,6885,6696,5229,6766,5106,5312,5778,6885,5449,5041,5385,6851,6273,6878,6004,6668,6856
POMO4,6173,5773,6692,6697,6697,5134,5994,6156,6237,5048,5783,5656,5983,6693,6696,6564,5264,6601,6663,6696,5898,5064,6663,6663,5990,6546,6562,6339,5672,6138,5771,6696,5243,5820,5627,6696,5202,5935,5089,5642,6696,6696,6697,5229,6595,5106,5298,5773,6697,5397,5005,5199,6664,6159,6692,5948,6537,6679
PSSA3,5182,4669,5229,5229,5229,4941,4592,5154,5229,4894,5229,5060,5153,5229,5229,5222,5229,5137,5195,5229,4548,5064,5195,5195,4556,5190,5227,5218,5229,5229,5199,5229,5229,5193,4963,5229,4931,5229,5081,4686,5229,5229,5229,5229,5228,5106,4903,5170,5229,4891,4619,3735,5197,4951,5229,5215,5229,5229
RAPT4,6217,5816,6761,6766,6767,5141,6058,6119,6200,5047,5771,5636,5943,6761,6766,6624,5263,6669,6733,6764,5944,5063,6733,6733,6056,6579,6591,6350,5659,6095,5818,6766,5242,5837,5661,6766,5197,5903,5091,5719,6766,6766,6595,5228,6767,5105,5289,5756,6767,5409,5022,5269,6733,6172,6762,5967,6556,6739
RENT3,5064,4585,5106,5106,5106,4898,4469,5043,5106,4808,5106,4937,5030,5106,5106,5099,5106,5014,5072,5106,4425,5064,5072,5072,4433,5067,5106,5095,5106,5106,5081,5106,5106,5089,4912,5106,4838,5106,5080,4563,5106,5106,5106,5106,5105,5106,4858,5048,5106,4840,4559,3612,5074,4828,5106,5096,5106,5106
ROMI3,5170,4772,5312,5312,5312,4817,4669,5215,5267,4716,5183,5015,5161,5312,5312,5291,4925,5221,5278,5312,4621,4847,5278,5278,4632,5268,5292,5261,5114,5250,5028,5312,4909,5094,4929,5312,4869,5220,4849,4646,5312,5312,5298,4903,5289,4858,5312,5133,5312,4853,4586,3820,5279,5020,5312,5165,5305,5310
SAPR4,5599,5082,5778,5778,5778,4981,5145,5700,5778,4995,5699,5542,5702,5778,5778,5761,5205,5701,5744,5778,5097,5007,5744,5744,5088,5739,5764,5748,5542,5778,5300,5778,5184,5463,5192,5778,5134,5778,5026,5013,5778,5778,5773,5170,5756,5048,5133,5778,5778,5067,4737,4285,5745,5500,5778,5569,5778,5778
SBSP3,6282,5898,6880,6885,6886,5148,6168,6210,6291,5048,5783,5665,6015,6880,6885,6725,5264,6787,6852,6882,6052,5064,6852,6852,6173,6692,6704,6431,5682,6174,5852,6885,5243,5871,5710,6885,5202,5949,5092,5769,6885,6885,6697,5229,6767,5106,5312,5778,6886,5449,5041,5386,6852,6274,6879,6005,6669,6857
SCAR3,5233,4844,5447,5449,5449,4800,4780,5267,5329,4668,5111,4952,5155,5449,5449,5408,4906,5361,5415,5449,4755,4819,5415,5415,4772,5410,5415,5366,5062,5258,5105,5449,4897,5113,4956,5449,4803,5161,4829,4735,5449,5449,5397,4891,5409,4840,4853,5067,5449,5449,4628,3959,5417,5171,5448,5207,5449,5446
SHUL4,4894,4532,5040,5041,5041,4553,4440,4845,4897,4419,4773,4614,4746,5041,5041,5008,4630,4967,5007,5041,4361,4550,5007,5007,4379,4981,5005,4965,4748,4843,4806,5041,4625,4798,4660,5041,4541,4796,4558,4406,5041,5041,5005,4619,5022,4559,4586,4737,5041,4628,5041,3580,5009,4723,5040,4867,5022,5036
TELB3,4786,4615,5380,5385,5386,3668,4992,4725,4795,3635,4288,4190,4527,5380,5385,5227,3770,5293,5355,5382,4798,3570,5355,5355,5091,5196,5206,4934,4187,4678,4362,5385,3749,4375,4226,5385,3707,4454,3598,4481,5385,5385,5199,3735,5269,3612,3820,4285,5386,3959,3580,5386,5368,4808,5379,4507,5172,5357
TELB4,6250,5866,6846,6851,6852,5116,6137,6177,6258,5016,5750,5636,5983,6846,6851,6691,5232,6753,6818,6848,6031,5032,6818,6818,6143,6658,6671,6397,5649,6141,5819,6851,5211,5837,5678,6851,5169,5916,5060,5744,6851,6851,6664,5197,6733,5074,5279,5745,6852,5417,5009,5368,6852,6251,6845,5972,6635,6823
TRPL4,5792,5416,6271,6274,6274,4811,5569,5932,6013,4770,5505,5556,5766,6274,6274,6156,4986,6181,6274,6273,5819,4786,6274,6274,5580,6273,6203,6067,5404,5896,5439,6274,4965,5501,5266,6274,4924,5671,4806,5328,6273,6273,6159,4951,6172,4828,5020,5500,6274,5171,4723,4808,6251,6274,6271,5663,6274,6268
UNIP6,6280,5895,6873,6878,6879,5147,6161,6209,6290,5048,5782,5665,6014,6873,6878,6718,5264,6780,6845,6875,6048,5064,6845,6845,6167,6688,6699,6428,5682,6173,5849,6878,5243,5870,5707,6878,5202,5948,5092,5764,6878,6878,6692,5229,6762,5106,5312,5778,6879,5448,5040,5379,6845,6271,6879,6003,6664,6851
USIM3,5759,5260,6003,6005,6005,5043,5324,5772,5850,5022,5609,5449,5633,6005,6005,5946,5250,5913,5971,6005,5286,5056,5971,5971,5322,5942,5953,5880,5519,5765,5520,6005,5229,5557,5317,6005,5149,5660,5075,5237,6004,6004,5948,5215,5967,5096,5165,5569,6005,5207,4867,4507,5972,5663,6003,6005,5961,5999
USIM5,6150,5770,6666,6669,6669,5097,5959,6210,6291,5048,5783,5665,6015,6669,6669,6537,5264,6576,6635,6668,5903,5064,6635,6635,5969,6613,6573,6373,5682,6174,5770,6669,5243,5811,5602,6669,5202,5949,5087,5623,6668,6668,6537,5229,6556,5106,5305,5778,6669,5449,5022,5172,6635,6274,6664,5961,6669,6660
VALE3,6267,5884,6851,6856,6857,5144,6142,6207,6288,5048,5783,5665,6014,6851,6856,6700,5264,6759,6823,6854,6027,5064,6823,6823,6147,6676,6681,6421,5682,6173,5837,6856,5243,5866,5695,6856,5202,5949,5092,5746,6856,6856,6679,5229,6739,5106,5310,5778,6857,5446,5036,5357,6823,6268,6851,5999,6660,6857
