eigen_rank,eigenvalue,sector,n_assets,sum_abs_loading,mean_abs_loading,max_abs_loading,dominant_symbol,dominant_loading
4,1.6543442182562562,Consumer Cyclical,5,0.16073089712378433,0.032146179424756866,0.08588173530667084,GRND3,-0.08588173530667084
4,1.6543442182562562,Financials,8,0.26989692505671736,0.03373711563208967,0.08082353749969969,ITSA3,-0.08082353749969969
4,1.6543442182562562,Consumer Non-Cyclical,1,0.006348411798269993,0.006348411798269993,0.006348411798269993,BOBR4,0.006348411798269993
4,1.6543442182562562,Basic Materials,16,0.28443883562628597,0.017777427226642873,0.06943355428171732,MGEL4,-0.06943355428171732
4,1.6543442182562562,Industrials,9,0.10610034794034767,0.01178892754892752,0.03579397821231646,CCRO3,-0.03579397821231646
4,1.6543442182562562,Utilities,13,0.25129827330614846,0.019330636408165267,0.05117030393139068,CPLE6,-0.05117030393139068
4,1.6543442182562562,Real Estate,2,0.024360153912594707,0.012180076956297354,0.01766936464005885,SCAR3,0.01766936464005885
4,1.6543442182562562,Oil Gas and Biofuels,2,0.03538720728876775,0.017693603644383875,0.017747263128827344,PETR3,-0.017747263128827344
4,1.6543442182562562,Telecommunications,2,1.3818159894297395,0.6909079947148697,0.6936104606140278,TELB3,0.6936104606140278
5,1.4835128614278588,Consumer Cyclical,5,0.8344573589421568,0.16689147178843136,0.2129228814218053,ALPA4,0.2129228814218053
5,1.4835128614278588,Financials,8,1.125366531895896,0.140670816486987,0.18779682509235437,BBDC4,0.18779682509235437
5,1.4835128614278588,Consumer Non-Cyclical,1,0.05370544050876096,0.05370544050876096,0.05370544050876096,BOBR4,0.05370544050876096
5,1.4835128614278588,Basic Materials,16,1.0056276102760662,0.06285172564225414,0.1460236344103083,BRKM3,-0.1460236344103083
5,1.4835128614278588,Industrials,9,0.6303365156371116,0.07003739062634573,0.18564750960027016,RENT3,0.18564750960027016
5,1.4835128614278588,Utilities,13,2.2388792761769447,0.1722214827828419,0.290053456231093,CMIG3,-0.290053456231093
5,1.4835128614278588,Real Estate,2,0.16575410144068925,0.08287705072034462,0.1203544258886428,CYRE3,0.1203544258886428
5,1.4835128614278588,Oil Gas and Biofuels,2,0.24270630772177582,0.12135315386088791,0.1254348706431875,PETR3,0.1254348706431875
5,1.4835128614278588,Telecommunications,2,0.08304015723324669,0.041520078616623345,0.050845872818579455,TELB4,0.050845872818579455
