source,target,distance,correlation,weight,same_sector,same_subsector,sector_source,sector_target,subsector_source,subsector_target,matrix_type
CMIG4,ELET6,1.2830282269355247,0.1769192844433421,1.2830282269355247,True,True,Utilities,Utilities,Electric Utility,Electric Utility,group_mode
CMIG4,CPLE3,1.2841868719774785,0.1754320389203496,1.2841868719774785,True,True,Utilities,Utilities,Electric Utility,Electric Utility,group_mode
CMIG4,ELET3,1.285832032392385,0.1733179922368342,1.285832032392385,True,True,Utilities,Utilities,Electric Utility,Electric Utility,group_mode
CMIG4,CPFE3,1.2934814739083724,0.1634528383279121,1.2934814739083724,True,True,Utilities,Utilities,Electric Utility,Electric Utility,group_mode
CMIG4,TRPL4,1.3219449442441773,0.1262307821936296,1.3219449442441773,True,True,Utilities,Utilities,Electric Utility,Electric Utility,group_mode
CMIG4,SBSP3,1.328282983460775,0.1178321579242712,1.328282983460775,True,False,Utilities,Utilities,Electric Utility,Water and Sanitation,group_mode
CMIG4,COCE5,1.3499260469141183,0.0888498339314107,1.3499260469141183,True,True,Utilities,Utilities,Electric Utility,Electric Utility,group_mode
COCE5,TRPL4,1.3739077632547487,0.0561887290341667,1.3739077632547487,True,True,Utilities,Utilities,Electric Utility,Electric Utility,group_mode
CPFE3,ELET6,1.312163130140756,0.139113959949607,1.312163130140756,True,True,Utilities,Utilities,Electric Utility,Electric Utility,group_mode
CPFE3,SBSP3,1.347823294868696,0.0916861829046463,1.347823294868696,True,False,Utilities,Utilities,Electric Utility,Water and Sanitation,group_mode
CPLE3,CPLE6,1.2987253210788396,0.1566562701943324,1.2987253210788396,True,True,Utilities,Utilities,Electric Utility,Electric Utility,group_mode
CPLE3,ELET3,1.3051438383310026,0.1482997806333088,1.3051438383310026,True,True,Utilities,Utilities,Electric Utility,Electric Utility,group_mode
CPLE3,SAPR4,1.326081963293988,0.1207533133131813,1.326081963293988,True,False,Utilities,Utilities,Electric Utility,Water and Sanitation,group_mode
CPLE3,SHUL4,1.3898058576194718,0.0342198390633023,1.3898058576194718,False,False,Utilities,Industrials,Electric Utility,Machinery and Equipment,group_mode
CPLE3,KEPL3,1.4019449902646726,0.0172751221358934,1.4019449902646726,False,False,Utilities,Industrials,Electric Utility,Machinery and Equipment,group_mode
CPLE6,ELET6,1.3014206413561857,0.1531521571260271,1.3014206413561857,True,True,Utilities,Utilities,Electric Utility,Electric Utility,group_mode
CSNA3,VALE3,1.2677713865190043,0.1963778557618407,1.2677713865190043,True,False,Basic Materials,Basic Materials,Steel and Metallurgy,Mining,group_mode
CSNA3,GOAU3,1.297556394866416,0.1581737010706348,1.297556394866416,True,True,Basic Materials,Basic Materials,Steel and Metallurgy,Steel and Metallurgy,group_mode
CTNM4,GUAR3,1.334215205284213,0.1099348929942028,1.334215205284213,True,False,Consumer Cyclical,Consumer Cyclical,Textiles,Retail,group_mode
CTNM4,ROMI3,1.3418043103704116,0.0997805963356922,1.3418043103704116,False,False,Consumer Cyclical,Industrials,Textiles,Machinery and Equipment,group_mode
CTNM4,POMO4,1.3721981108549284,0.0585361722830827,1.3721981108549284,False,False,Consumer Cyclical,Industrials,Textiles,Transportation Equipment,group_mode
CYRE3,GRND3,1.3495817553139675,0.0893145428618351,1.3495817553139675,False,False,Real Estate,Consumer Cyclical,Real Estate,Apparel and Footwear,group_mode
CYRE3,LREN3,1.3605886465275212,0.074399267470204,1.3605886465275212,False,False,Real Estate,Consumer Cyclical,Real Estate,Retail,group_mode
ELET3,SAPR4,1.337169307460101,0.1059891215933368,1.337169307460101,True,False,Utilities,Utilities,Electric Utility,Water and Sanitation,group_mode
ELET3,TRPL4,1.3389778377716424,0.1035691749781887,1.3389778377716424,True,True,Utilities,Utilities,Electric Utility,Electric Utility,group_mode
EMAE4,SHUL4,1.3384762391493694,0.1042406786162799,1.3384762391493694,False,False,Utilities,Industrials,Electric Utility,Machinery and Equipment,group_mode
EMAE4,ROMI3,1.3392583706287535,0.1031935083504082,1.3392583706287535,False,False,Utilities,Industrials,Electric Utility,Machinery and Equipment,group_mode
EMBR3,GUAR3,1.3826991469464986,0.0440715345167124,1.3826991469464986,False,False,Industrials,Consumer Cyclical,Aerospace and Defense,Retail,group_mode
EMBR3,RENT3,1.3946161319544024,0.0275229222462706,1.3946161319544024,True,False,Industrials,Industrials,Aerospace and Defense,Transportation,group_mode
ETER3,GUAR3,1.3308700374996476,0.1143924716428433,1.3308700374996476,False,False,Industrials,Consumer Cyclical,Construction Materials,Retail,group_mode
ETER3,SHUL4,1.3330690830590515,0.1114634098960499,1.3330690830590515,True,False,Industrials,Industrials,Construction Materials,Machinery and Equipment,group_mode
ETER3,RAPT4,1.3633820034371698,0.0705947563518245,1.3633820034371698,True,False,Industrials,Industrials,Construction Materials,Transportation Equipment,group_mode
ETER3,KEPL3,1.3892293273101701,0.035020938070666,1.3892293273101701,True,False,Industrials,Industrials,Construction Materials,Machinery and Equipment,group_mode
FESA4,GGBR4,1.3320524970497065,0.1128180725518207,1.3320524970497065,True,True,Basic Materials,Basic Materials,Steel and Metallurgy,Steel and Metallurgy,group_mode
