date,pair,pearson_20d,pearson_60d,ewma
2011-03-15,ELET3 x CMIG4,0.6031313028666676,0.3544561742578467,0.43751633706353094
2011-03-16,ELET3 x CMIG4,0.6965658001127579,0.408574238732106,0.5116106328227332
2011-03-17,ELET3 x CMIG4,0.6956563171768996,0.4291072089589729,0.514641151465951
2011-03-18,ELET3 x CMIG4,0.6304944211822952,0.4124592525207681,0.4775804142945369
2011-03-21,ELET3 x CMIG4,0.6284974386428834,0.42733288173763684,0.47353157370508686
2011-03-22,ELET3 x CMIG4,0.631075368467407,0.44501192469903256,0.4895187618758674
2011-03-23,ELET3 x CMIG4,0.6646020504337713,0.43333498085788513,0.48862277486587863
2011-03-24,ELET3 x CMIG4,0.6685313109947221,0.4350956662236934,0.49487505952992156
2011-03-25,ELET3 x CMIG4,0.722183466965787,0.4322575413512433,0.494478099956724
2011-03-28,ELET3 x CMIG4,0.7041252000238074,0.4298603852273017,0.4727379983575798
2011-03-29,ELET3 x CMIG4,0.6790650216133551,0.43026034258378576,0.46136789528751415
2011-03-30,ELET3 x CMIG4,0.6378808211222885,0.4500584717532676,0.46207257419720693
2011-03-31,ELET3 x CMIG4,0.6193940911729721,0.42873808502594657,0.4674216149237791
2011-04-01,ELET3 x CMIG4,0.6062865399719252,0.45997857666623315,0.4919737477634246
2011-04-04,ELET3 x CMIG4,0.5665289324585875,0.4621075854393327,0.4772783968278967
2011-04-05,ELET3 x CMIG4,0.5763021137552575,0.47864303974031375,0.49257882943947684
2011-04-06,ELET3 x CMIG4,0.5821769880649749,0.5078285959319792,0.4905027308079831
2011-04-07,ELET3 x CMIG4,0.6352095771922286,0.5002670070101497,0.49931233939299574
2011-04-08,ELET3 x CMIG4,0.6353369940564563,0.5298964795717297,0.5161839785754293
2011-04-11,ELET3 x CMIG4,0.6854497832874089,0.5708336198244385,0.5483682217298881
2011-04-12,ELET3 x CMIG4,0.662208874232162,0.5614374553849187,0.5509848016417613
2011-04-13,ELET3 x CMIG4,0.5425042355067593,0.5474245616985919,0.5360950879033846
2011-04-14,ELET3 x CMIG4,0.5361503813674542,0.549560651968177,0.5361554250047311
2011-04-15,ELET3 x CMIG4,0.640415130555958,0.542123722545028,0.5379249601805083
2011-04-18,ELET3 x CMIG4,0.636869024478664,0.5427447480589629,0.533191173794901
2011-04-19,ELET3 x CMIG4,0.6103929262380327,0.5241302629233179,0.5169878772574547
2011-04-20,ELET3 x CMIG4,0.5866509017609529,0.5334590740417372,0.5089570865554989
2011-04-25,ELET3 x CMIG4,0.5434663211273578,0.520824079271981,0.48921459390193933
2011-04-26,ELET3 x CMIG4,0.5194360652982674,0.5361490763561969,0.4806790025892864
2011-04-27,ELET3 x CMIG4,0.46823685183714564,0.4993281890967051,0.4252362127089958
2011-04-28,ELET3 x CMIG4,0.454232208783492,0.5149449395382556,0.42170606335815347
2011-04-29,ELET3 x CMIG4,0.41246826751964366,0.4945508850212525,0.39362783070251245
2011-05-02,ELET3 x CMIG4,0.5106195924224148,0.5373830353596535,0.47399495527629115
2011-05-03,ELET3 x CMIG4,0.35309941023795716,0.5371935747046538,0.4724653067545467
2011-05-04,ELET3 x CMIG4,0.4800341568040878,0.545807122752021,0.4907241158304356
2011-05-05,ELET3 x CMIG4,0.41462741566891753,0.57059146458707,0.498396845320961
2011-05-06,ELET3 x CMIG4,0.4857834850341386,0.567256350817558,0.49915230972278074
2011-05-09,ELET3 x CMIG4,0.4710185173597948,0.565858057540458,0.47946688004332066
2011-05-10,ELET3 x CMIG4,0.449655134816822,0.5678338429543208,0.4790374039226756
2011-05-11,ELET3 x CMIG4,0.39292206231036475,0.5693058952282752,0.4825742785135278
2011-05-12,ELET3 x CMIG4,0.3740477224636902,0.5744298252942333,0.48658146513609635
2011-05-13,ELET3 x CMIG4,0.3682402645799234,0.5699662817469271,0.4791557498273683
2011-05-16,ELET3 x CMIG4,0.3399529113821512,0.5568265271473698,0.4516469233452834
2011-05-17,ELET3 x CMIG4,0.2980179046803817,0.534479621516305,0.4301703156847234
2011-05-18,ELET3 x CMIG4,0.2368931430829131,0.5282320823875751,0.4084960615890161
2011-05-19,ELET3 x CMIG4,0.248615002001677,0.5217627176198981,0.40774290883973174
2011-05-20,ELET3 x CMIG4,0.3473547683695658,0.540985895141214,0.4391202356333791
2011-05-23,ELET3 x CMIG4,0.37309521579746296,0.5422347852854196,0.4422794342313418
2011-05-24,ELET3 x CMIG4,0.37262229460692375,0.5557130870352538,0.42572528757559325
