symbol1,symbol2,correlation,n_obs
GOAU4,RENT3,0.37880432318233925,5106
BRKM5,USIM5,0.3783661031815289,5783
BBDC3,PSSA3,0.37836151779703353,5229
BBDC3,BRKM5,0.37816192832736534,5783
CPLE3,PETR3,0.377815080710073,6786
CMIG4,CSNA3,0.37752566740475213,6881
CPFE3,PETR4,0.37705379024533336,5264
BRAP4,CPLE6,0.37703400711979357,6257
GOAU3,ITSA4,0.3765784726229054,5852
BRAP4,CYRE3,0.3763420224205911,5064
CCRO3,CMIG4,0.374856561264321,5665
CMIG3,GOAU4,0.37461312886348314,6879
CPLE6,LREN3,0.37442766401269656,5058
BBAS3,PSSA3,0.3740117527208589,5229
GUAR3,RENT3,0.3739232017954988,5089
CSNA3,ELET6,0.3734003387193642,6848
GGBR4,RAPT4,0.37237896697434636,6095
CCRO3,RAPT4,0.3722390636784776,5636
CMIG3,GGBR4,0.37221725558997376,6174
BRAP4,CMIG4,0.37198701820473157,6291
CSNA3,RENT3,0.37123246456790954,5106
GOAU4,KLBN4,0.37086505852066304,5949
ELET3,TRPL4,0.37082335027244756,6274
CPFE3,RENT3,0.3706141198989648,5106
SBSP3,USIM5,0.37050846958041445,6669
PETR4,RENT3,0.3704384513406272,5106
BBDC4,GOAU3,0.37031745207561806,5852
CCRO3,CPLE6,0.369849765459155,5665
CPLE6,CSNA3,0.36970158231118705,6848
BBAS3,GOAU3,0.3694335814225654,5849
ITSA4,POMO4,0.3693343501284427,6696
BRKM5,GGBR3,0.36889035301102163,5580
CPFE3,PETR3,0.3685668485336252,5264
BBAS3,ITSA3,0.3679140891279779,5709
BBDC3,VALE3,0.3668840164261562,6856
POMO4,RENT3,0.3666643469894154,5106
BRAP4,SBSP3,0.3662811509438783,6291
GGBR3,RENT3,0.3655347831984315,5106
BRAP4,KLBN4,0.36526311159375613,5949
BBDC3,GOAU3,0.3650301253308366,5852
BRKM5,GOAU3,0.3642978975651822,5354
CPFE3,LREN3,0.36406965262357305,5081
ITSA4,KLBN4,0.3637626932090713,5949
ITSA4,RAPT4,0.3629832308859615,6766
CCRO3,LREN3,0.3627867874623048,4914
CMIG3,USIM5,0.36276886300900046,6669
CCRO3,PETR3,0.36045639945324875,5665
BBDC4,RAPT4,0.3597386401948394,6767
CPFE3,TRPL4,0.3582202491924744,4986
CPFE3,GOAU4,0.35817469376210626,5264
CCRO3,ELET3,0.35795519187866875,5665
PETR3,RENT3,0.35773734562792975,5106
RENT3,USIM5,0.35772314126024773,5106
ELET3,RENT3,0.35757293318672506,5072
CCRO3,SBSP3,0.3568478818353839,5665
ALPA4,RENT3,0.3567539506160282,5064
GOAU3,RENT3,0.35657956931934504,5081
GGBR3,KLBN4,0.3562652418267868,5652
CYRE3,USIM3,0.3538300601041071,5056
PETR4,RAPT4,0.3537954164987802,6766
BBDC3,BRAP3,0.3529466632652037,6210
ELET6,RENT3,0.3527140080196824,5072
CCRO3,CMIG3,0.35204852483090604,5665
BBAS3,BRAP3,0.35158330763930834,6207
USIM3,VALE3,0.351438855628072,5999
CMIG4,RENT3,0.3510817668547911,5106
BRKM5,KLBN4,0.35057726369310416,5783
CCRO3,ELET6,0.35052629252741657,5665
CPFE3,GGBR4,0.35049377151726074,5264
GOAU4,RAPT4,0.34971296173101657,6766
CYRE3,VALE3,0.3488962015194959,5064
CMIG3,CSNA3,0.3488478974509881,6876
BRAP3,USIM3,0.3486747765132135,5772
BRKM5,PETR3,0.3486198299959912,5783
BRAP4,CMIG3,0.3480559147443768,6291
BBAS3,RAPT4,0.34792469878922605,6761
FESA4,GGBR4,0.34784323284934193,6057
CYRE3,GRND3,0.34739134428407836,5064
BBAS3,VALE3,0.3471167595461181,6851
CSNA3,SBSP3,0.3470773096752016,6882
GGBR3,RAPT4,0.3469184996290362,5659
BRAP4,BRKM5,0.34612955105302856,5783
SBSP3,TRPL4,0.34590075472016424,6274
CPLE6,GGBR3,0.3457911223436977,5648
BBDC3,POMO4,0.3451913684599372,6697
KLBN4,USIM5,0.3448979022023558,5949
ALPA4,GUAR3,0.3444684868709638,5654
BRAP4,ELET6,0.34404214619781304,6257
BRKM5,PETR4,0.3439196338089649,5783
BRAP4,ELET3,0.3437378530792609,6257
CSNA3,KLBN4,0.3431463494859399,5949
TELB3,TELB4,0.3429136172681471,5368
BRKM5,UNIP6,0.34271022926219524,5782
CPLE3,GOAU4,0.342634770957584,6786
BRKM5,CPLE6,0.3425179488936432,5749
BBDC4,POMO4,0.3421834318070913,6697
PETR3,RAPT4,0.34205192514558475,6766
BBDC4,TRPL4,0.34148992859507044,6274
BBAS3,BRKM5,0.3412821651824359,5783
GGBR3,SBSP3,0.3404494067842879,5682
CYRE3,ITSA3,0.3401097809396199,4891
BRKM5,CYRE3,0.3396963443213929,5064
CCRO3,GOAU4,0.33962399714345665,5665
LREN3,RAPT4,0.33945208724627113,5091
GRND3,RENT3,0.33927916674245934,5106
BBDC4,KLBN4,0.3389558415792759,5949
CPLE6,GOAU3,0.33867383833546894,5818
BBDC3,RAPT4,0.33744337841763605,6766
ITSA4,TRPL4,0.3372815391987702,6274
CPFE3,RAPT4,0.3361401693680428,5263
RAPT4,USIM5,0.33598596575353523,6556
CPLE3,USIM5,0.33592100821987614,6576
CPLE3,GGBR4,0.3354846162982595,6081
BBAS3,TRPL4,0.3354030142121521,6271
BRAP4,FESA4,0.3353472023392974,6149
BBDC4,USIM3,0.335323000722595,6005
CMIG4,LREN3,0.3352356900875859,5092
CPFE3,CSNA3,0.3351909412344389,5264
BRKM5,SBSP3,0.33463700513754235,5783
CYRE3,PSSA3,0.3344610717754035,5064
PSSA3,RENT3,0.33343809679607744,5106
CPFE3,POMO4,0.3333634763080007,5264
SAPR4,SBSP3,0.33335252240475727,5778
FESA4,USIM5,0.33301708854663836,6373
CPLE3,TRPL4,0.33299315699396276,6181
CCRO3,GGBR4,0.33221879430664314,5665
CCRO3,CPLE3,0.33218668901675347,5572
FESA4,GGBR3,0.33116448396622356,5643
ELET6,LREN3,0.33106689778495657,5058
ITSA4,USIM3,0.33028981136921776,6005
GRND3,ITSA4,0.33012611814018045,5243
BRKM5,RENT3,0.32991947262857674,5106
ALPA4,LREN3,0.32961503135086173,5042
CPLE3,RENT3,0.32881576390659273,5014
BRKM5,ELET6,0.3281470501386417,5749
BBDC4,GRND3,0.3276387331427557,5243
BRAP3,CYRE3,0.3275256517108514,5004
GOAU3,KLBN4,0.32742618925993583,5381
BRKM5,ELET3,0.3273685841644269,5749
BBAS3,KLBN4,0.3271186176011018,5949
KLBN4,VALE3,0.3267820473350009,5949
CPFE3,GOAU3,0.3267387777597222,5215
GGBR4,LREN3,0.32626392619203093,5084
ELET3,LREN3,0.3261678197276179,5058
BBAS3,POMO4,0.32571508376715447,6692
BRAP4,RENT3,0.32547587743699646,5106
CPFE3,GGBR3,0.32491563638292414,5262
LREN3,SBSP3,0.32428343766165213,5092
CPLE6,SAPR4,0.323836322879641,5744
CPLE3,SAPR4,0.3235501204895436,5701
GUAR3,RAPT4,0.32334261341461945,5837
BRKM5,VALE3,0.32326261742034046,5783
CPFE3,USIM5,0.3230642997038904,5264
GRND3,RAPT4,0.32286452002093274,5242
CCRO3,GOAU3,0.3227133044176331,5201
CMIG4,GGBR3,0.3216497531983562,5682
BBDC3,GRND3,0.3215661932030784,5243
GOAU3,RAPT4,0.32122360069952277,5818
GGBR4,POMO4,0.32026472313337884,6138
LREN3,POMO4,0.3193408763732883,5089
CPLE6,PSSA3,0.3190443228113117,5195
EMBR3,GGBR4,0.3187108143198159,6135
CCRO3,POMO4,0.3184498437873184,5656
BRKM5,CMIG4,0.318224087330775,5783
BBDC4,GUAR3,0.3175249654655514,5871
CMIG4,VALE3,0.3174112576792911,6856
LREN3,USIM5,0.31705035536964976,5087
CPLE3,CSNA3,0.31680778825678085,6783
GGBR4,UNIP6,0.3164680098069125,6173
BBDC3,USIM3,0.3160936819097816,6005
ALPA4,GRND3,0.3160622565423269,5196
BRAP4,CPFE3,0.3158290561650202,5264
CYRE3,EMBR3,0.3155289302278628,5025
BBDC3,KLBN4,0.31536519374820543,5949
