matrix_type,clique_size,nodes,sectors,subsectors,n_unique_sectors,same_sector_clique,same_subsector_clique,mean_internal_correlation,min_internal_correlation,max_internal_correlation
filtered,3,CMIG4|ITSA4|SBSP3,Utilities|Financials|Utilities,Electric Utility|Financial Services|Water and Sanitation,2,False,False,0.5877023978576695,0.5615531742991238,0.619132965506347
filtered,3,COCE5|CPLE6|TRPL4,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Electric Utility,1,True,True,0.4052321582112011,0.2954002768631681,0.5287359758182322
filtered,3,CPFE3|CPLE6|ELET3,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Electric Utility,1,True,True,0.6387347861339822,0.6071197411271945,0.6718709331872627
filtered,3,CPFE3|CPLE6|SBSP3,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Water and Sanitation,1,True,False,0.6019127271200484,0.5557668982983783,0.6372136840874894
filtered,3,CPLE3|CPLE6|TRPL4,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Electric Utility,1,True,True,0.5466335580271557,0.47379511284933,0.637369585413905
filtered,3,CPLE6|ELET3|ELET6,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Electric Utility,1,True,True,0.6649995075742438,0.6456800108379084,0.6774475786975602
filtered,3,CPLE6|ITSA4|SBSP3,Utilities|Financials|Utilities,Electric Utility|Financial Services|Water and Sanitation,2,False,False,0.5849194657689744,0.5615531742991238,0.6127575989742775
filtered,3,CSNA3|GGBR4|GOAU4,Basic Materials|Basic Materials|Basic Materials,Steel and Metallurgy|Steel and Metallurgy|Steel and Metallurgy,1,True,True,0.7980330553227709,0.7785582796747476,0.836753405851173
filtered,3,CSNA3|GGBR4|VALE3,Basic Materials|Basic Materials|Basic Materials,Steel and Metallurgy|Steel and Metallurgy|Mining,1,True,False,0.766383077674909,0.7338328400940111,0.7867581132559684
filtered,3,CSNA3|GOAU4|VALE3,Basic Materials|Basic Materials|Basic Materials,Steel and Metallurgy|Steel and Metallurgy|Mining,1,True,False,0.7642743163750035,0.7338328400940111,0.7802026285886072
filtered,3,CTNM4|GUAR3|RAPT4,Consumer Cyclical|Consumer Cyclical|Industrials,Textiles|Retail|Transportation Equipment,2,False,False,0.401160111008243,0.3305958884334607,0.5350225166839263
filtered,3,CTNM4|GUAR3|SHUL4,Consumer Cyclical|Consumer Cyclical|Industrials,Textiles|Retail|Machinery and Equipment,2,False,False,0.32429855442621497,0.2565249443847804,0.3857748304604038
filtered,3,CTNM4|RAPT4|SHUL4,Consumer Cyclical|Industrials|Industrials,Textiles|Transportation Equipment|Machinery and Equipment,2,False,False,0.32762855698353605,0.2565249443847804,0.3884987986584859
filtered,3,CYRE3|EMBR3|POMO4,Real Estate|Industrials|Industrials,Real Estate|Aerospace and Defense|Transportation Equipment,2,False,False,0.4549338178548419,0.3895760345172048,0.5255521788954647
filtered,3,CYRE3|EMBR3|RAPT4,Real Estate|Industrials|Industrials,Real Estate|Aerospace and Defense|Transportation Equipment,2,False,False,0.4923140514788155,0.4396241365933439,0.5876447776912466
filtered,3,CYRE3|GRND3|GUAR3,Real Estate|Consumer Cyclical|Consumer Cyclical,Real Estate|Apparel and Footwear|Retail,2,False,False,0.5026831968341957,0.4827843377019,0.528684253838305
filtered,3,CYRE3|GRND3|LREN3,Real Estate|Consumer Cyclical|Consumer Cyclical,Real Estate|Apparel and Footwear|Retail,2,False,False,0.5267144969785692,0.4917909256383423,0.5917715663349835
filtered,3,CYRE3|GUAR3|LREN3,Real Estate|Consumer Cyclical|Consumer Cyclical,Real Estate|Retail|Retail,2,False,False,0.5490603781684398,0.5267253143320307,0.5917715663349835
filtered,3,CYRE3|GUAR3|RAPT4,Real Estate|Consumer Cyclical|Industrials,Real Estate|Retail|Transportation Equipment,3,False,False,0.5504505160711592,0.528684253838305,0.5876447776912466
filtered,3,CYRE3|GUAR3|ROMI3,Real Estate|Consumer Cyclical|Industrials,Real Estate|Retail|Machinery and Equipment,3,False,False,0.4324740357976846,0.3686132017011469,0.528684253838305
filtered,3,CYRE3|KEPL3|RAPT4,Real Estate|Industrials|Industrials,Real Estate|Machinery and Equipment|Transportation Equipment,2,False,False,0.33870957771013127,0.2116681242880737,0.5876447776912466
filtered,3,CYRE3|LREN3|RAPT4,Real Estate|Consumer Cyclical|Industrials,Real Estate|Retail|Transportation Equipment,3,False,False,0.58060965035509,0.5624126070390402,0.5917715663349835
filtered,3,CYRE3|LREN3|RENT3,Real Estate|Consumer Cyclical|Industrials,Real Estate|Retail|Transportation,3,False,False,0.5634069354124381,0.5394522047510573,0.5917715663349835
filtered,3,CYRE3|LREN3|TELB3,Real Estate|Consumer Cyclical|Telecommunications,Real Estate|Retail|Telecommunications,3,False,False,0.2909208320921781,0.1346248399655075,0.5917715663349835
filtered,3,CYRE3|LREN3|TELB4,Real Estate|Consumer Cyclical|Telecommunications,Real Estate|Retail|Telecommunications,3,False,False,0.3094488901446588,0.1621346236660249,0.5917715663349835
filtered,3,CYRE3|MGEL4|RAPT4,Real Estate|Basic Materials|Industrials,Real Estate|Steel and Metallurgy|Transportation Equipment,3,False,False,0.35206994162081173,0.2331322898796425,0.5876447776912466
filtered,3,CYRE3|POMO4|RAPT4,Real Estate|Industrials|Industrials,Real Estate|Transportation Equipment|Transportation Equipment,2,False,False,0.5437260870036206,0.5179813044241502,0.5876447776912466
filtered,3,CYRE3|POMO4|RENT3,Real Estate|Industrials|Industrials,Real Estate|Transportation Equipment|Transportation,2,False,False,0.5220113141786041,0.481484728489074,0.5589970351512736
filtered,3,CYRE3|RAPT4|RENT3,Real Estate|Industrials|Industrials,Real Estate|Transportation Equipment|Transportation,2,False,False,0.5623232153435492,0.5403278331881275,0.5876447776912466
filtered,3,CYRE3|RAPT4|ROMI3,Real Estate|Industrials|Industrials,Real Estate|Transportation Equipment|Machinery and Equipment,2,False,False,0.45682113621329345,0.3686132017011469,0.5876447776912466
filtered,3,CYRE3|TELB3|TELB4,Real Estate|Telecommunications|Telecommunications,Real Estate|Telecommunications|Telecommunications,2,False,False,0.37582242325379983,0.1346248399655075,0.830707806129867
filtered,3,EMAE4|ETER3|GUAR3,Utilities|Industrials|Consumer Cyclical,Electric Utility|Construction Materials|Retail,3,False,False,0.26368404610430085,0.1862800539062204,0.3554796201644385
filtered,3,EMAE4|ETER3|RAPT4,Utilities|Industrials|Industrials,Electric Utility|Construction Materials|Transportation Equipment,2,False,False,0.26819250389554233,0.1862800539062204,0.3645932877372551
filtered,3,EMAE4|GUAR3|RAPT4,Utilities|Consumer Cyclical|Industrials,Electric Utility|Retail|Transportation Equipment,3,False,False,0.34600638365644043,0.2492924642422436,0.5350225166839263
filtered,3,EMBR3|POMO4|RAPT4,Industrials|Industrials|Industrials,Aerospace and Defense|Transportation Equipment|Transportation Equipment,1,True,False,0.44906049184489966,0.3895760345172048,0.5179813044241502
filtered,3,ETER3|GUAR3|RAPT4,Industrials|Consumer Cyclical|Industrials,Construction Materials|Retail|Transportation Equipment,2,False,False,0.41836514152853993,0.3554796201644385,0.5350225166839263
filtered,3,FESA4|GGBR4|GOAU4,Basic Materials|Basic Materials|Basic Materials,Steel and Metallurgy|Steel and Metallurgy|Steel and Metallurgy,1,True,True,0.633047513641157,0.5300863541222567,0.836753405851173
filtered,3,FESA4|GGBR4|KLBN4,Basic Materials|Basic Materials|Basic Materials,Steel and Metallurgy|Steel and Metallurgy|Paper and Cellulose,1,True,False,0.4639690264979916,0.3411557995452668,0.5300863541222567
filtered,3,FESA4|GOAU4|KLBN4,Basic Materials|Basic Materials|Basic Materials,Steel and Metallurgy|Steel and Metallurgy|Paper and Cellulose,1,True,False,0.4652459057481179,0.3411557995452668,0.5323027809500412
filtered,3,GGBR3|GGBR4|GOAU4,Basic Materials|Basic Materials|Basic Materials,Steel and Metallurgy|Steel and Metallurgy|Steel and Metallurgy,1,True,True,0.8217592892108607,0.8138042910018954,0.836753405851173
filtered,3,GGBR3|GGBR4|USIM5,Basic Materials|Basic Materials|Basic Materials,Steel and Metallurgy|Steel and Metallurgy|Steel and Metallurgy,1,True,True,0.7894264114483586,0.7668345163687051,0.8138042910018954
filtered,3,GGBR3|GOAU4|USIM5,Basic Materials|Basic Materials|Basic Materials,Steel and Metallurgy|Steel and Metallurgy|Steel and Metallurgy,1,True,True,0.7907278455023188,0.7668345163687051,0.8147201707795135
filtered,3,GGBR4|GOAU3|GOAU4,Basic Materials|Basic Materials|Basic Materials,Steel and Metallurgy|Steel and Metallurgy|Steel and Metallurgy,1,True,True,0.8007367948059437,0.7815817346160518,0.836753405851173
filtered,3,GGBR4|GOAU3|USIM3,Basic Materials|Basic Materials|Basic Materials,Steel and Metallurgy|Steel and Metallurgy|Steel and Metallurgy,1,True,True,0.7382155873392028,0.6936684699550619,0.7815817346160518
filtered,3,GGBR4|GOAU3|USIM5,Basic Materials|Basic Materials|Basic Materials,Steel and Metallurgy|Steel and Metallurgy|Steel and Metallurgy,1,True,True,0.7694994835564509,0.7392762890788257,0.7876404269744751
filtered,3,GGBR4|GOAU4|ITSA4,Basic Materials|Basic Materials|Financials,Steel and Metallurgy|Steel and Metallurgy|Financial Services,2,False,False,0.660739009713042,0.5704451664309498,0.836753405851173
filtered,3,GGBR4|GOAU4|KLBN4,Basic Materials|Basic Materials|Basic Materials,Steel and Metallurgy|Steel and Metallurgy|Paper and Cellulose,1,True,False,0.62656582280889,0.5206649258264513,0.836753405851173
filtered,3,GGBR4|GOAU4|PETR3,Basic Materials|Basic Materials|Oil Gas and Biofuels,Steel and Metallurgy|Steel and Metallurgy|Oil Gas and Biofuels,2,False,False,0.6858382001850694,0.6097082811587943,0.836753405851173
filtered,3,GGBR4|GOAU4|UNIP6,Basic Materials|Basic Materials|Basic Materials,Steel and Metallurgy|Steel and Metallurgy|Chemicals,1,True,False,0.5979383889063041,0.4742917289592707,0.836753405851173
filtered,3,GGBR4|GOAU4|USIM3,Basic Materials|Basic Materials|Basic Materials,Steel and Metallurgy|Steel and Metallurgy|Steel and Metallurgy,1,True,True,0.7726265523577417,0.7393965574464945,0.836753405851173
filtered,3,GGBR4|GOAU4|USIM5,Basic Materials|Basic Materials|Basic Materials,Steel and Metallurgy|Steel and Metallurgy|Steel and Metallurgy,1,True,True,0.8050075607281286,0.7876404269744751,0.836753405851173
filtered,3,GGBR4|GOAU4|VALE3,Basic Materials|Basic Materials|Basic Materials,Steel and Metallurgy|Steel and Metallurgy|Mining,1,True,False,0.8012380492319163,0.7802026285886072,0.836753405851173
