symbol,company_name,sector,subsector,segment,degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,clustering_coefficient,avg_financial_volume,n_days,first_date,last_date,specification
PETR4,PETROBRAS,Oil Gas and Biofuels,Oil Gas and Biofuels,Exploration Refining and Distribution,8,0.14035087719298245,0.018170426065162906,0.49084175144139275,0.12363898520045558,0.27474120428922205,0.0,,,,
PETR3,PETROBRAS,Oil Gas and Biofuels,Oil Gas and Biofuels,Exploration Refining and Distribution,7,0.12280701754385964,0.06203007518796992,0.49027301703200565,0.08545876798693854,0.284115552063123,0.0,,,,
GOAU3,METALURGICA GERDAU,Basic Materials,Steel and Metallurgy,Holdings,7,0.12280701754385964,0.0018796992481203006,0.39951344120031834,0.014508059172487004,0.3160648909791694,0.0,,,,
CSNA3,CSN,Basic Materials,Steel and Metallurgy,Steel,7,0.12280701754385964,0.005012531328320802,0.381994568917779,0.0172790335890342,0.2735757014363762,0.0,,,,
BRAP4,BRADESPAR,Basic Materials,Mining,Holdings,7,0.12280701754385964,0.03070175438596491,0.3927775629118698,0.02637914305473155,0.28689414611794206,0.0,,,,
VALE3,VALE,Basic Materials,Mining,Minerals,7,0.12280701754385964,0.012531328320802004,0.39596133590744587,0.04088498267494012,0.2977629035144862,0.0,,,,
SBSP3,SABESP,Utilities,Water and Sanitation,Water and Sanitation,7,0.12280701754385964,0.0012531328320802004,0.35136171990300546,0.11060914717029618,0.3998074319296257,0.0,,,,
GGBR3,GERDAU,Basic Materials,Steel and Metallurgy,Steel,6,0.10526315789473684,0.0,0.42328909315532254,0.01076100328692641,0.3157260386971378,0.0,,,,
POMO4,MARCOPOLO,Industrials,Transportation Equipment,Commercial Vehicles,6,0.10526315789473684,0.0,0.41130176267638674,0.17326252768326408,0.48508570608140444,0.0,,,,
CCRO3,CCR,Industrials,Transportation,Infrastructure,6,0.10526315789473684,0.0,0.42163174878309023,0.18677807729252172,0.4593099070971912,0.0,,,,
BRKM5,BRASKEM,Basic Materials,Chemicals,Petrochemicals,5,0.08771929824561403,0.0006265664160401002,0.3403990607554913,0.016940197830762588,0.47764736170960587,0.0,,,,
CPFE3,CPFL ENERGIA,Utilities,Electric Utility,Generation and Distribution,5,0.08771929824561403,0.0,0.34911016701845937,0.07899465668149705,0.4738359992437539,0.0,,,,
ELET3,ELETROBRAS,Utilities,Electric Utility,Generation and Transmission,5,0.08771929824561403,0.0012531328320802004,0.36634619073664465,0.08660798400440559,0.48016976715197224,0.0,,,,
CMIG3,CEMIG,Utilities,Electric Utility,Generation and Distribution,5,0.08771929824561403,0.0,0.388461790322164,0.07540253799553748,0.4564501622595155,0.0,,,,
CPLE3,COPEL,Utilities,Electric Utility,Generation and Distribution,5,0.08771929824561403,0.0,0.363293923591494,0.07758722777093205,0.49039342820648313,0.0,,,,
USIM5,USIMINAS,Basic Materials,Steel and Metallurgy,Steel,5,0.08771929824561403,0.0006265664160401002,0.37820622246789065,0.011079171335536542,0.33086686851609476,0.0,,,,
SHUL4,SCHULZ,Industrials,Machinery and Equipment,Industrial Machinery,4,0.07017543859649122,0.0,0.29685661706069033,0.09338953141689528,0.7295210841183101,0.0,,,,
ROMI3,INDS ROMI,Industrials,Machinery and Equipment,Industrial Machinery,4,0.07017543859649122,0.0,0.32015952171035406,0.12735545567249348,0.6871458676849942,0.0,,,,
RENT3,LOCALIZA,Industrials,Transportation,Rent a Car,4,0.07017543859649122,0.0,0.3902737462716481,0.12518309332189975,0.5989075262060002,0.0,,,,
TELB4,TELEBRAS,Telecommunications,Telecommunications,Telecommunications,4,0.07017543859649122,0.0006265664160401002,0.3038523670591385,0.08402450532076204,0.7211845250714708,0.0,,,,
KLBN4,KLABIN,Basic Materials,Paper and Cellulose,Paper and Cellulose,4,0.07017543859649122,0.0,0.33720994077296357,0.016813012656656856,0.6210756924167652,0.0,,,,
GUAR3,GUARARAPES,Consumer Cyclical,Retail,Apparel,4,0.07017543859649122,0.0,0.33028196910014607,0.10793779591413334,0.6125881051547775,0.0,,,,
GRND3,GRENDENE,Consumer Cyclical,Apparel and Footwear,Footwear,4,0.07017543859649122,0.0,0.3217876272231377,0.1170679592779766,0.677451727339668,0.0,,,,
