,count,mean,min,25%,50%,75%,max,std,missing_pct
rolling_abs_return_60d,14859.0,0.017513988030215106,0.0062339819405528895,0.012808952301892967,0.015311241499589255,0.01940919387893673,0.05502493614787623,0.0075800086605500114,0.0
rolling_skew_60d,14859.0,-0.04716128240907205,-5.635505855509599,-0.3021064440124208,0.049152254716638526,0.37464150608607516,4.613514658580015,0.8503475975756283,0.0
rolling_kurtosis_60d,14859.0,1.6351011411263106,-1.0317120409659513,0.007240513447315228,0.5522262959390373,1.448343818977238,38.85251389913666,4.106971224952613,0.0
ewma_volatility,14859.0,0.02314805035709038,0.009142666335046498,0.01690676477998221,0.020396651222041866,0.02550462160233446,0.09168382964349073,0.009941897181705232,0.0
lagged_rv_5d,14859.0,0.047338077213959134,0.0032238373702264695,0.028843366646164367,0.04035932330546328,0.05699534635141598,0.48545872190724215,0.030380577110127278,0.0
lagged_rv_20d,14859.0,0.0999673134719576,0.019834030652890647,0.06930822535031907,0.08692359891229359,0.11386074044385897,0.5849505853426789,0.051586006626145896,0.0
largest_eigenvalue,14859.0,21.65046185200237,21.650461852002376,21.650461852002376,21.650461852002376,21.650461852002376,21.650461852002376,7.10566646474214e-15,0.0
market_mode_share,14859.0,0.3732838250345238,0.37328382503452373,0.37328382503452373,0.37328382503452373,0.37328382503452373,0.37328382503452373,5.551301925579796e-17,0.0
number_of_eigenvalues_above_mp,14859.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0
mst_original_degree_centrality,14859.0,0.04093567251461986,0.0175438596491228,0.0175438596491228,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.016541066111723752,0.0
mst_original_betweenness,14859.0,0.31432748538011696,0.0,0.0,0.4354636591478696,0.5075187969924811,0.5075187969924811,0.2242088110555281,0.0
mst_original_degree,14859.0,2.3333333333333335,1.0,1.0,3.0,3.0,3.0,0.9428407683682546,0.0
mst_group_degree_centrality,14859.0,0.08187134502923973,0.0175438596491228,0.0175438596491228,0.0526315789473684,0.175438596491228,0.175438596491228,0.06769723067366176,0.0
mst_group_betweenness,14859.0,0.3162071846282372,0.0,0.0,0.3659147869674185,0.5827067669172932,0.5827067669172932,0.24047975143885258,0.0
mst_group_degree,14859.0,4.666666666666667,1.0,1.0,3.0,10.0,10.0,3.8587421483987216,0.0
pmfg_original_degree,14859.0,10.333333333333334,7.0,7.0,8.0,16.0,16.0,4.027817528088213,0.0
pmfg_original_degree_centrality,14859.0,0.18128654970760233,0.1228070175438596,0.1228070175438596,0.1403508771929824,0.2807017543859649,0.2807017543859649,0.07066346540505637,0.0
pmfg_original_betweenness,14859.0,0.12990810359231406,0.012531328320802,0.012531328320802,0.0181704260651629,0.3590225563909774,0.3590225563909774,0.1620301916471167,0.0
pmfg_original_clustering,14859.0,0.24370431776035148,0.1586088454773463,0.1586088454773463,0.274741204289222,0.2977629035144862,0.2977629035144862,0.060903221869260865,0.0
pmfg_group_degree,14859.0,10.333333333333334,6.0,6.0,12.0,13.0,13.0,3.0913101883902456,0.0
