symbol,n_obs,mean,std,min,max,skew,abs_mean
ENEV3,3022,-0.000463115180654529,0.03361282507851844,-0.4418327522790393,0.2876820724517809,-1.2070563208434688,0.019907609238662326
ABEV3,3008,7.239698622250288e-05,0.01621069152326862,-0.17175935196773118,0.09413899091386213,-0.3960260229797668,0.01139238219151982
KLBN11,2975,-0.0008753128855165479,0.053980739747761346,-1.4759065198095778,1.6933193964148026,-0.8134228118120146,0.015472250730568276
PRIO3,2608,0.0017669486324473347,0.03948747725527806,-0.45477035976565605,0.6079893722196386,0.7708095441856041,0.024797471877738956
RAIL3,2186,0.0002547062202207307,0.023116295273887776,-0.18561836963167622,0.1997796567066601,-0.2463090676295727,0.016260863010548382
BPAC11,2179,0.001202030588391273,0.02748036777065405,-0.3128401540105341,0.2460323031544891,-0.5750987374497664,0.018334569183961553
AZUL4,2161,-0.0015427320345985265,0.04555171837601167,-0.45993710574502744,0.32196338626283705,-0.8277389742420002,0.029092839012256583
IRBR3,2090,-0.0007240494567749634,0.03675319293732568,-0.38513740860249346,0.2674134694471104,-0.7241496727475784,0.023036757899589682
SUZB3,2019,0.00048798052256890113,0.02336912865629286,-0.17591235961405305,0.19716806491094951,0.20869014431484914,0.016416351596897805
CRFB3,1949,-0.00023808114867201132,0.023409606044097503,-0.14003535317658855,0.12014431184206309,0.041731934140949,0.01719140648003361
B3SA3,1931,0.0003725621046881359,0.024555783899302682,-0.17578717942061983,0.17600719127033848,-0.0973288766170303,0.01790664443207528
HAPV3,1910,-0.0009233461627346186,0.036246472610422596,-0.5484365392227013,0.24153017756464923,-3.009225958303012,0.023156628595227047
YDUQ3,1605,-0.0006102389248591296,0.03647202699293644,-0.2900103622113721,0.2135322934040964,-0.0034621519583049945,0.026104883226673953
PCAR3,1548,0.00020357063303773137,0.04933527004983995,-0.42476555382631487,0.8718389693033212,4.220326247269463,0.02746911125201623
COGN3,1547,-0.0006979260336769176,0.03627716591693754,-0.2350721221794836,0.17798315519535657,-0.3407478785711414,0.025956380681531322
LWSA3,1469,-0.00013446940768207033,0.040589438175033216,-0.22314355131420993,0.2578291093020997,0.0007467182574074262,0.02955402789913917
NTCO3,1374,-0.0008792035179999127,0.03489538509508306,-0.3558324839057545,0.15851090810023605,-1.4325384839071686,0.023463745733566764
PETZ3,1320,-0.001037576067000573,0.03463580040495643,-0.15700374880966472,0.3158529494184772,0.7376935886039181,0.02541159247671932
TIMS3,1299,0.0005668000336482896,0.015571133311391443,-0.06399958283296092,0.08044536521873935,0.216610905960895,0.011690190936527782
RDOR3,1258,-0.00017196513259765776,0.023041554324079748,-0.08830300923857948,0.08924457919648399,0.16591392956674675,0.01740393652091987
ASAI3,1208,-0.0005508323314262124,0.025420207227126713,-0.10197088001214771,0.1371092139724066,0.13785915259691384,0.019272544313448086
VBBR3,1045,0.00039690623920739834,0.020568124244129984,-0.0691480786888774,0.07480672316477133,-0.023741562921404183,0.015768676666072613
