symbol,company_name,sector,subsector,degree_mst_original,betweenness_mst_original,degree_rank_mst_original,betweenness_rank_mst_original,degree_mst_group_mode,betweenness_mst_group_mode,degree_rank_mst_group_mode,betweenness_rank_mst_group_mode,degree_pmfg_original,betweenness_pmfg_original,degree_rank_pmfg_original,betweenness_rank_pmfg_original,degree_pmfg_group_mode,betweenness_pmfg_group_mode,degree_rank_pmfg_group_mode,betweenness_rank_pmfg_group_mode,degree_rank_shift_mst_original_to_group,betweenness_rank_shift_mst_original_to_group,degree_rank_shift_pmfg_original_to_group,betweenness_rank_shift_pmfg_original_to_group
CSNA3,CSN,Basic Materials,Steel and Metallurgy,2,0.3383458646616541,16.0,7.0,1,0.0,18.0,18.0,7,0.0050125313283208,13.0,16.0,4,0.0,26.0,21.0,-2.0,-11.0,-13.0,-5.0
ELET3,ELETROBRAS,Utilities,Electric Utility,1,0.0,25.0,25.0,1,0.0,18.0,18.0,5,0.0012531328320802,22.0,19.0,5,0.0,20.0,21.0,7.0,7.0,2.0,-2.0
CYRE3,CYRELA,Real Estate,Real Estate,6,0.4411027568922305,2.0,4.0,1,0.0,18.0,18.0,16,0.1998746867167919,1.0,4.0,3,0.0,47.0,21.0,-16.0,-14.0,-46.0,-17.0
SBSP3,SABESP,Utilities,Water and Sanitation,3,0.1027568922305764,8.0,13.0,1,0.0,18.0,18.0,7,0.0012531328320802,13.0,19.0,3,0.0,47.0,21.0,-10.0,-5.0,-34.0,-2.0
CCRO3,CCR,Industrials,Transportation,1,0.0,25.0,25.0,1,0.0,18.0,18.0,6,0.0,19.0,24.0,7,0.2299498746867168,13.0,4.0,7.0,7.0,6.0,20.0
CMIG4,CEMIG,Utilities,Electric Utility,4,0.356516290726817,6.0,6.0,6,0.169172932330827,4.0,12.0,15,0.1954887218045112,3.0,5.0,9,0.0087719298245614,9.0,15.0,2.0,-6.0,-6.0,-10.0
EMBR3,EMBRAER,Industrials,Aerospace and Defense,1,0.0,25.0,25.0,1,0.0,18.0,18.0,3,0.0,37.0,24.0,3,0.0,47.0,21.0,7.0,7.0,-10.0,3.0
BRAP4,BRADESPAR,Basic Materials,Mining,3,0.0695488721804511,8.0,15.0,9,0.3477443609022556,3.0,8.0,7,0.0307017543859649,13.0,11.0,15,0.1159147869674185,3.0,10.0,5.0,7.0,10.0,1.0
BRKM5,BRASKEM,Basic Materials,Chemicals,2,0.0350877192982456,16.0,17.0,1,0.0,18.0,18.0,5,0.0006265664160401,22.0,21.0,3,0.0,47.0,21.0,-2.0,-1.0,-25.0,0.0
GOAU4,METALURGICA GERDAU,Basic Materials,Steel and Metallurgy,5,0.2882205513784461,5.0,9.0,1,0.0,18.0,18.0,13,0.106516290726817,5.0,8.0,4,0.0,26.0,21.0,-13.0,-9.0,-21.0,-13.0
BBDC3,BRADESCO,Financials,Banks,2,0.0350877192982456,16.0,17.0,1,0.0,18.0,18.0,9,0.3558897243107769,8.0,3.0,12,0.3082706766917293,5.0,2.0,-2.0,-1.0,3.0,1.0
ELET6,ELETROBRAS,Utilities,Electric Utility,2,0.0350877192982456,16.0,17.0,1,0.0,18.0,18.0,4,0.0081453634085213,28.0,15.0,4,0.0,26.0,21.0,-2.0,-1.0,2.0,-6.0
CPLE6,COPEL,Utilities,Electric Utility,6,0.2593984962406015,2.0,10.0,1,0.0,18.0,18.0,12,0.1102756892230576,7.0,7.0,4,0.0,26.0,21.0,-16.0,-8.0,-19.0,-14.0
