model,feature_set,symbol,horizon,split,MAE,RMSE,QLIKE,R2_oos
HistGradientBoosting,Set B (+Market/RMT),VALE3,5,train,0.012808746107035805,0.017143443071244716,-4.899924651188954,0.6887162666785231
HistGradientBoosting,Set B (+Market/RMT),VALE3,5,validation,0.020745433686493876,0.03806443647407687,-4.488880681291546,0.013071908130246168
HistGradientBoosting,Set B (+Market/RMT),VALE3,5,test,0.015543348821057122,0.019478599259412546,-5.368983036330171,0.38272765467814784
MLP,Set B (+Market/RMT),BBDC4,5,train,0.012860989103173494,0.018415996652584636,-5.177128531032702,0.40125057234392414
MLP,Set B (+Market/RMT),BBDC4,5,validation,0.014925564477762715,0.02599206835358272,-4.9229002119696625,0.3526377945556367
MLP,Set B (+Market/RMT),BBDC4,5,test,0.013859163069512601,0.022691839982420567,-4.94302099191683,0.06570838768121268
MLP,Set B (+Market/RMT),PETR4,5,train,0.016076799758759197,0.02255342032831533,-4.770144018104578,0.49683176428408904
MLP,Set B (+Market/RMT),PETR4,5,validation,0.02203890764663851,0.04809656844284621,-3.4931680180334985,0.06871210172967546
MLP,Set B (+Market/RMT),PETR4,5,test,0.015464702299691628,0.023855419702068285,-5.063237136837116,0.2851893451147325
MLP,Set B (+Market/RMT),VALE3,5,train,0.015574576713158962,0.022003204641352025,-4.790130815479625,0.48721867153666665
MLP,Set B (+Market/RMT),VALE3,5,validation,0.018815674036755766,0.03612672798691824,-4.290923246915808,0.11099549897655325
MLP,Set B (+Market/RMT),VALE3,5,test,0.012662084343651566,0.01652929816152289,-5.415864948186213,0.5555015997972745
Ridge,Set C (+Network),BBDC4,5,train,0.0132304397968404,0.01882021359792557,-5.20110020024851,0.37467793586953413
Ridge,Set C (+Network),BBDC4,5,validation,0.014923196421966847,0.025325597886771658,-4.9753201054623215,0.3854105884687463
Ridge,Set C (+Network),BBDC4,5,test,0.014759268794884107,0.023237128342562724,-5.168476603486239,0.02026654407392814
Ridge,Set C (+Network),PETR4,5,train,0.016742351435206342,0.022968605397052234,-4.7970547381438715,0.4781356353010371
Ridge,Set C (+Network),PETR4,5,validation,0.021917382148609263,0.04287632449284355,-4.334049919866611,0.25989919929441463
Ridge,Set C (+Network),PETR4,5,test,0.015718025898101364,0.023923545936363533,-5.090527253576319,0.28110080727776277
Ridge,Set C (+Network),VALE3,5,train,0.016126781015473636,0.022625013752053422,-4.802034834810206,0.4578268191422785
Ridge,Set C (+Network),VALE3,5,validation,0.01875575577987097,0.03544454410453064,-4.44742257865895,0.1442527916412889
Ridge,Set C (+Network),VALE3,5,test,0.013436500140702835,0.01698299401964931,-5.4318860469789865,0.5307655513301202
Random Forest,Set C (+Network),BBDC4,5,train,0.012302067323923303,0.016999063549278267,-5.25803369873326,0.48984205859409147
Random Forest,Set C (+Network),BBDC4,5,validation,0.015708895234724712,0.02694675720625144,-4.913582176199503,0.3042092057876258
